country,city,city_country,mean_pm10_ug_per_m3,year,mean_pm2.5_ug_per_m3,year2
Turkey,TOKAT,"TOKAT, Turkey",29,2012,17,2012
Turkey,ARTVIN,"ARTVIN, Turkey",27,2012,16,2012
Turkey,RIZE,"RIZE, Turkey",27,2012,16,2012
Turkey,YALOVA,"YALOVA, Turkey",23,2012,14,2012
Turkey,CANAKKALE,"CANAKKALE, Turkey",19,2012,11,2012
Turkey,GIRESUN,"GIRESUN, Turkey",11,2012,7,2012
Uganda,Kampala,"Kampala, Uganda",170,2013,104,2013
Unit. Rep. of Tanzania,Morogoro,"Morogoro, Unit. Rep. of Tanzania",35,2011,23,2011
United Arab Emirates,Al Gharbia - Bida Zayed,"Al Gharbia - Bida Zayed, United Arab Emirates",146,2013,61,2013
United Arab Emirates,Al Gharbia - Gayathi,"Al Gharbia - Gayathi, United Arab Emirates",145,2013,61,2013
United Arab Emirates,Al Gharbia - Liwa Oasis,"Al Gharbia - Liwa Oasis, United Arab Emirates",133,2013,56,2013
United Arab Emirates,Abu Dhabi,"Abu Dhabi, United Arab Emirates",132,2013,55,2013
United Arab Emirates,Al Ain,"Al Ain, United Arab Emirates",123,2013,52,2013
United Kingdom,GIBRALTAR,"GIBRALTAR, United Kingdom",31,2013,14,2013
United Kingdom,PORT TALBOT,"PORT TALBOT, United Kingdom",25,2013,14,2013
United Kingdom,STANFORD-LE-HOPE,"STANFORD-LE-HOPE, United Kingdom",24,2013,14,2013
